,Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
3342,Fighters Uncaged,X360,2010.0,Fighting,0.31,0.23,0.0,0.06,32.0,4.6,T
3343,Rayman Arena,PS2,2001.0,Racing,0.29,0.23,0.0,0.08,63.0,8.6,E
3344,Jaws Unleashed,PS2,2006.0,Action,0.5,0.02,0.0,0.08,52.0,7.5,M
3345,Puyo Puyo Sun,SAT,1997.0,Puzzle,0.0,0.0,0.6,0.0,,,
3346,Half-Life,PS2,2001.0,Shooter,0.29,0.23,0.0,0.08,87.0,8.6,M
3347,International Superstar Soccer 64,N64,1997.0,Sports,0.09,0.26,0.23,0.02,,,
3348,Mickey's Speedway USA,N64,2000.0,Racing,0.37,0.08,0.14,0.01,,,
3349,NASCAR Heat 2002,PS2,2001.0,Racing,0.29,0.23,0.0,0.08,81.0,tbd,E
3350,Split/Second,X360,2010.0,Racing,0.32,0.23,0.0,0.06,82.0,8.1,E10+
3351,The Golden Compass,DS,2007.0,Action,0.28,0.25,0.0,0.06,43.0,4.9,E10+
3352,The Golden Compass,Wii,,Action,0.26,0.28,0.0,0.07,35.0,6.8,E10+
3353,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007.0,Action,0.51,0.04,0.0,0.05,,,
3354,From TV Animation One Piece: Grand Battle 2,PS,2002.0,Fighting,0.0,0.0,0.56,0.04,,,
3355,BeatMania Append 3rdMix,PS,1998.0,Simulation,0.0,0.0,0.56,0.04,,,
3356,Muramasa: The Demon Blade,Wii,2009.0,Role-Playing,0.32,0.12,0.11,0.04,81.0,8.7,T
3357,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008.0,Misc,0.37,0.16,0.01,0.06,,,
3358, Frozen: Olaf's Quest,3DS,2013.0,Platform,0.27,0.27,0.0,0.05,,,
3359,Xena: Warrior Princess,PS,1998.0,Adventure,0.33,0.23,0.0,0.04,,,
3360,Littlest Pet Shop: Garden,DS,2008.0,Simulation,0.31,0.23,0.0,0.06,,tbd,E
3361,Okami,Wii,2008.0,Action,0.43,0.09,0.04,0.05,90.0,8.9,T
3362,New Play Control! Pikmin 2,Wii,2009.0,Strategy,0.11,0.13,0.33,0.02,,,
3363,LEGO The Hobbit,PS4,2014.0,Action,0.13,0.38,0.0,0.09,72.0,6.6,E10+
3364,Front Mission,SNES,1995.0,Strategy,0.0,0.0,0.6,0.0,,,
3365,WWE 2K17,PS4,2016.0,Sports,0.17,0.34,0.0,0.09,69.0,6.9,T
3366,Just Dance 2014,WiiU,2013.0,Misc,0.31,0.23,0.0,0.05,72.0,7.6,E10+
3367,New Play Control! Donkey Kong Jungle Beat,Wii,2008.0,Platform,0.23,0.17,0.14,0.05,,,
3368,Wipeout: The Game,DS,2010.0,Misc,0.56,0.0,0.0,0.04,,tbd,E
3369,Avatar: The Game,PSP,2009.0,Action,0.22,0.24,0.0,0.14,,,
3370,NHL 15,PS4,2014.0,Sports,0.31,0.19,0.0,0.1,60.0,3.6,E10+
3371,Total War: Shogun 2,PC,2011.0,Strategy,0.19,0.31,0.0,0.09,90.0,8.3,T
3372,Major League Baseball 2K7,PS2,2007.0,Sports,0.29,0.23,0.0,0.08,71.0,tbd,E
3373,Dai-2-Ji Super Robot Taisen α,PS2,2003.0,Strategy,0.0,0.0,0.6,0.0,,,
3374,PGR3 - Project Gotham Racing 3,X360,2005.0,Racing,0.49,0.03,0.03,0.05,,,
3375,Dragon Age: Inquisition,PS3,2014.0,Role-Playing,0.27,0.18,0.05,0.09,,5.2,M
3376,SimCity DS,DS,2007.0,Simulation,0.33,0.02,0.21,0.03,69.0,6.3,E
3377,New Carnival Games,Wii,2010.0,Misc,0.33,0.21,0.0,0.05,,tbd,E
3378,Hot Wheels: Stunt Track Challenge,PS2,2004.0,Racing,0.29,0.23,0.0,0.08,62.0,8.1,E
3379,Littlest Pet Shop: Jungle,DS,2008.0,Simulation,0.34,0.2,0.0,0.06,,tbd,E
3380,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005.0,Strategy,0.0,0.0,0.59,0.0,,,
3381,FIFA 15,PSV,2014.0,Sports,0.08,0.35,0.05,0.12,,3.1,E
3382,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997.0,Sports,0.0,0.0,0.56,0.04,,,
3383,Monopoly,X360,2008.0,Misc,0.34,0.2,0.0,0.06,56.0,5.8,E
3384,Tony Hawk: RIDE,PS3,2009.0,Sports,0.38,0.14,0.0,0.07,44.0,2.1,E10+
3385,CyberTiger,PS,1998.0,Sports,0.33,0.22,0.0,0.04,,,
3386,Jampack Fall 2001,PS,2001.0,Misc,0.33,0.22,0.0,0.04,,,
3387,Medal of Honor: Frontline,GC,2002.0,Shooter,0.46,0.12,0.0,0.02,80.0,7.9,T
3388,Dead Space,PC,2008.0,Action,0.0,0.53,0.0,0.06,86.0,8,M
3389,NFL Blitz 2001,PS,2000.0,Sports,0.33,0.22,0.0,0.04,70.0,tbd,E
3390,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998.0,Sports,0.0,0.0,0.55,0.04,,,
3391,Rock Band 2,PS2,2008.0,Misc,0.29,0.23,0.0,0.08,,8,T
3392,NHL 11,PS3,2010.0,Sports,0.4,0.12,0.0,0.07,88.0,7.1,E10+
3393,Yakuza 5,PS3,2012.0,Action,0.0,0.0,0.59,0.0,83.0,8.5,M
3394,BurgerTime,2600,1981.0,Puzzle,0.55,0.03,0.0,0.01,,,
3395,2002 FIFA World Cup,PS2,2002.0,Sports,0.21,0.17,0.16,0.06,73.0,5.6,E
3396,MVP Baseball 2004,XB,2004.0,Sports,0.44,0.13,0.0,0.02,90.0,8.5,E
3397,Crash Bandicoot: The Wrath of Cortex,GC,2002.0,Platform,0.46,0.12,0.0,0.02,62.0,7.3,E
3398,Smurf: Rescue In Gargamel's Castle,2600,1981.0,Action,0.55,0.03,0.0,0.01,,,
3399,Beijing 2008,X360,2008.0,Sports,0.15,0.38,0.0,0.07,,,
3400,Pokemon Trozei!,DS,2005.0,Puzzle,0.25,0.0,0.31,0.02,,,
3401,WWE 2K16,XOne,2015.0,Sports,0.32,0.22,0.0,0.05,72.0,5.7,T
3402,Extreme-G,N64,1997.0,Racing,0.47,0.11,0.0,0.01,,,
3403,Ready 2 Rumble Boxing,N64,1999.0,Sports,0.47,0.11,0.0,0.01,,,
3404,Assassin's Creed: Brotherhood,PC,2011.0,Action,0.15,0.34,0.0,0.1,88.0,8.2,M
3405,Spelling Challenges and more!,DS,2007.0,Misc,0.54,0.0,0.0,0.04,,,
3406,Dead or Alive Xtreme Beach Volleyball,XB,2003.0,Sports,0.36,0.08,0.14,0.02,73.0,7.8,M
3407,Tales of Rebirth,PS2,2004.0,Role-Playing,0.0,0.0,0.59,0.0,,,
3408,Silent Hill: Shattered Memories,PS2,2010.0,Action,0.13,0.22,0.01,0.23,77.0,6.8,M
3409,Disney Sing It: Family Hits,Wii,2010.0,Misc,0.38,0.17,0.0,0.05,,tbd,E
3410,Blur,X360,2010.0,Racing,0.25,0.27,0.0,0.06,82.0,8.3,E10+
3411,Barbie: Race & Ride,PS,1999.0,Action,0.33,0.22,0.0,0.04,,,
3412,Kane & Lynch 2: Dog Days,PS3,2010.0,Shooter,0.17,0.27,0.05,0.1,,,
3413,Madden NFL 06,X360,,Sports,0.54,0.0,0.01,0.03,74.0,4.9,E
3414,Asphalt: Urban GT,DS,2004.0,Racing,0.31,0.22,0.0,0.06,60.0,7.5,E
3415,Mega Man Anniversary Collection,PS2,2004.0,Platform,0.29,0.22,0.0,0.08,81.0,9,E
3416,Metal Gear Solid V: Ground Zeroes,PS3,2014.0,Action,0.14,0.12,0.27,0.05,66.0,5.9,M
3417,Harvest Moon: Friends of Mineral Town,GBA,2003.0,Simulation,0.34,0.13,0.11,0.01,81.0,9.6,E
3418,Backyard NBA Basketball,PS2,2003.0,Sports,0.29,0.22,0.0,0.07,,,
3419,Ben 10: Alien Force,PSP,2008.0,Action,0.35,0.13,0.0,0.1,,7.7,E10+
3420,Naruto: The Broken Bond,X360,2008.0,Action,0.24,0.28,0.0,0.06,80.0,7.8,T
3421,Kirby's Dream Course,SNES,1994.0,Sports,0.0,0.0,0.59,0.0,,,
3422,WarioWare D.I.Y.,DS,2009.0,Misc,0.17,0.18,0.2,0.04,82.0,8.7,E
3423,Iron Man,Wii,2008.0,Action,0.3,0.22,0.0,0.06,44.0,7,T
3424,The Fight: Lights Out,PS3,2010.0,Fighting,0.29,0.21,0.0,0.09,48.0,7.5,T
3425,Mega Man X7,PS2,2003.0,Action,0.22,0.17,0.14,0.06,58.0,5.1,E
3426,Deus Ex: Human Revolution,PC,2011.0,Shooter,0.25,0.25,0.0,0.08,90.0,8.5,M
3427,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008.0,Action,0.29,0.22,0.0,0.07,,tbd,E
3428,Final Fantasy Anniversary Edition,PSP,2007.0,Role-Playing,0.39,0.02,0.13,0.04,67.0,7.7,E10+
3429,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009.0,Action,0.21,0.23,0.0,0.14,,tbd,E10+
3430,SoulCalibur V,X360,2012.0,Fighting,0.39,0.13,0.02,0.04,77.0,6.2,T
3431,Tokimeki Memorial: Forever with You,PS,1995.0,Simulation,0.0,0.0,0.55,0.04,,,
3432,Diablo,PS,1997.0,Role-Playing,0.29,0.19,0.07,0.04,,,
3433,Q*bert,2600,1982.0,Puzzle,0.55,0.03,0.0,0.01,,,
3434,Romancing SaGa,PS2,2005.0,Role-Playing,0.06,0.04,0.47,0.01,58.0,8,E10+
3435,Lost: Via Domus,X360,2008.0,Action,0.18,0.34,0.0,0.07,55.0,6.4,T
3436,Top Spin 3,Wii,2008.0,Action,0.15,0.37,0.0,0.07,68.0,5.7,E
3437,Game Party in Motion,X360,2010.0,Misc,0.36,0.17,0.0,0.05,33.0,3.7,E
3438,The Lord of the Rings: The Third Age,PS2,2004.0,Role-Playing,0.49,0.02,0.0,0.08,73.0,8.2,T
3439,Call of Duty: Black Ops,DS,2010.0,Shooter,0.5,0.04,0.0,0.04,74.0,6,T
3440,Disney Sing It! High School Musical 3: Senior Year,Wii,2008.0,Misc,0.31,0.23,0.0,0.04,,,
3441,NCAA Football 09,PS3,2008.0,Sports,0.54,0.0,0.0,0.04,81.0,7.3,E
3442,Sonic & All-Stars Racing Transformed,X360,2012.0,Racing,0.2,0.33,0.0,0.05,,,
3443,MLB 11: The Show,PS3,2011.0,Sports,0.54,0.0,0.0,0.04,90.0,7.8,E
3444,Jeopardy!,Wii,2010.0,Misc,0.55,0.0,0.0,0.04,,,
3445,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010.0,Shooter,0.38,0.15,0.0,0.05,,,
3446,Kinect Rush: A Disney Pixar Adventure,X360,2012.0,Adventure,0.38,0.15,0.0,0.05,68.0,5.1,E
3447,Sammy Sosa High Heat Baseball 2001,PS,2000.0,Sports,0.32,0.22,0.0,0.04,,,
3448,Skylanders SWAP Force,WiiU,2013.0,Platform,0.38,0.15,0.0,0.05,89.0,6,E10+
3449,Terminator 3: Rise of the Machines,PS2,2003.0,Action,0.28,0.22,0.0,0.07,38.0,6.3,T
3450,Guitar Hero: Smash Hits,Wii,2009.0,Misc,0.31,0.21,0.0,0.06,74.0,7.7,T
3451,Tom Clancy's HAWX,X360,2009.0,Action,0.31,0.19,0.02,0.06,73.0,7.3,T
3452,Alice: Madness Returns,PS3,2011.0,Adventure,0.22,0.24,0.04,0.08,70.0,7.9,M
3453,Shin Megami Tensei IV,3DS,2013.0,Role-Playing,0.28,0.0,0.27,0.03,83.0,8.3,M
3454,NBA 2K7,X360,2006.0,Sports,0.53,0.0,0.0,0.04,84.0,7.8,E
3455,International Superstar Soccer '98,N64,1998.0,Sports,0.06,0.3,0.19,0.03,,,
3456,FIFA: Road to  World Cup 98,N64,1997.0,Sports,0.15,0.39,0.0,0.03,,,
3457,World Cup 98,N64,1998.0,Sports,0.14,0.4,0.0,0.04,,,
3458,NHL 12,PS3,2011.0,Sports,0.36,0.15,0.0,0.07,86.0,7.5,E10+
3459,NASCAR: Dirt to Daytona,PS2,,Racing,0.28,0.22,0.0,0.07,84.0,8.8,E
3460,Unreal Tournament,PS2,2000.0,Shooter,0.28,0.22,0.0,0.07,77.0,6.8,M
3461,Digimon World 2,PS,2000.0,Role-Playing,0.23,0.16,0.16,0.04,42.0,7.6,E
3462,Tales of Phantasia,PS,1998.0,Role-Playing,0.0,0.0,0.54,0.04,,,
3463,Prince of Persia: The Two Thrones,XB,2005.0,Action,0.33,0.22,0.0,0.03,85.0,8.4,M
3464,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004.0,Role-Playing,0.28,0.22,0.0,0.07,,,
3465,Gex: Enter the Gecko,PS,1998.0,Platform,0.32,0.22,0.0,0.04,,,
3466,Shrek 2: Beg for Mercy,GBA,2004.0,Adventure,0.42,0.15,0.0,0.01,,,
3467,FIFA Soccer 10,DS,2009.0,Sports,0.14,0.37,0.0,0.07,,7.6,E
3468,JoJo's Bizarre Adventure: All Star Battle,PS3,2013.0,Fighting,0.05,0.02,0.5,0.01,71.0,8.3,T
3469,Contra: Shattered Soldier,PS2,2002.0,Shooter,0.28,0.22,0.0,0.07,78.0,6.6,T
3470,Championship Motocross featuring Ricky Carmichael,PS,1998.0,Racing,0.32,0.22,0.0,0.04,,,
3471,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992.0,Role-Playing,0.0,0.0,0.58,0.0,,,
3472,Final Fantasy: The 4 Heroes of Light,DS,2009.0,Role-Playing,0.22,0.1,0.23,0.03,71.0,7.1,E10+
3473,Rayman Legends,PS3,2013.0,Platform,0.14,0.34,0.0,0.1,91.0,8.7,E10+
3474,Fire Emblem: Seisen no Keifu,SNES,1996.0,Strategy,0.0,0.0,0.58,0.0,,,
3475,FIFA Soccer,PSV,2012.0,Sports,0.16,0.32,0.02,0.08,79.0,7.2,E
3476,Tenchu 2: Birth of the Stealth Assassins,PS,2000.0,Action,0.32,0.22,0.0,0.04,77.0,8.7,M
3477,Tony Hawk's Pro Skater 4,GC,2002.0,Sports,0.45,0.12,0.0,0.02,91.0,8.6,T
3478,Go Diego Go! Great Dinosaur Rescue,Wii,2008.0,Action,0.52,0.02,0.0,0.04,,,
3479,Naruto: Uzumaki Chronicles 2,PS2,2006.0,Action,0.28,0.22,0.0,0.07,52.0,6.9,T
3480,NHL 06,PS2,2005.0,Sports,0.48,0.02,0.0,0.08,78.0,8.5,E10+
3481,Parasite Eve II,PS,1999.0,Role-Playing,0.32,0.22,0.0,0.04,79.0,9,M
3482,NFL Blitz 2000,N64,1999.0,Sports,0.55,0.02,0.0,0.0,,,
3483,Skate it,Wii,2008.0,Sports,0.5,0.03,0.0,0.04,70.0,8.4,E
3484,Pro Evolution Soccer 2015,PS3,2014.0,Sports,0.1,0.2,0.22,0.06,,7.8,E
3485,London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,0.07,0.44,0.0,0.07,,,
3486,Madden NFL 2002,XB,,Sports,0.53,0.02,0.0,0.03,90.0,8.1,E
3487,NCAA Football 10,PS2,2009.0,Sports,0.28,0.22,0.0,0.07,,tbd,E
3488,Phineas and Ferb: Across the 2nd Dimension,Wii,2011.0,Action,0.35,0.18,0.0,0.05,76.0,8.3,E10+
3489,Theme Park,PS,1994.0,Simulation,0.24,0.16,0.13,0.04,,,
3490,Far Cry Instincts,XB,2005.0,Shooter,0.32,0.24,0.0,0.02,85.0,5.7,M
3491,Hasbro Family Game Night,PS2,2008.0,Puzzle,0.28,0.22,0.0,0.07,,tbd,E
3492,Tony Hawk's Pro Skater 4,GBA,2002.0,Sports,0.41,0.15,0.0,0.01,85.0,8.8,E
3493,ATV Offroad Fury: Blazin' Trails,PSP,2005.0,Racing,0.53,0.0,0.0,0.04,63.0,7.8,E
3494,Tales of the Abyss,PS2,2005.0,Role-Playing,0.0,0.0,0.57,0.0,78.0,8.4,T
3495,Payday 2,X360,2013.0,Shooter,0.33,0.19,0.0,0.05,75.0,6.3,M
3496,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000.0,Strategy,0.0,0.0,0.54,0.04,,,
3497,Blacksite: Area 51,X360,2007.0,Shooter,0.29,0.22,0.0,0.06,62.0,6.1,T
3498,Spyro Orange: The Cortex Conspiracy,GBA,2004.0,Action,0.41,0.15,0.0,0.01,60.0,7,E
3499,XCOM: Enemy Unknown,PS3,2012.0,Strategy,0.24,0.23,0.0,0.1,89.0,8.2,M
3500,Petz Dogz 2,Wii,2007.0,Simulation,0.52,0.01,0.0,0.04,,tbd,E
3501,Beyond The Beyond,PS,1995.0,Role-Playing,0.11,0.08,0.35,0.04,,,
3502,Ben 10: Alien Force,PS2,2008.0,Action,0.22,0.02,0.0,0.33,,5.3,E10+
3503,Skylanders: Spyro's Adventure,3DS,2011.0,Action,0.32,0.2,0.0,0.05,82.0,4.9,E10+
3504,Cabela's Dangerous Hunts 2011,Wii,2010.0,Sports,0.52,0.02,0.0,0.04,,tbd,T
3505,The Sims 3: World Adventures,PC,2009.0,Simulation,0.02,0.18,0.0,0.38,81.0,8,T
3506,Madden NFL 06,GC,2005.0,Sports,0.44,0.11,0.0,0.02,86.0,8.5,E
3507,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007.0,Action,0.24,0.0,0.31,0.02,,,
3508,Titanfall 2,XOne,2016.0,Shooter,0.37,0.15,0.0,0.05,87.0,8,M
3509,BlazBlue: Calamity Trigger,PS3,2009.0,Fighting,0.36,0.1,0.06,0.06,87.0,8.4,T
3510,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007.0,Action,0.5,0.03,0.0,0.05,,,
3511,Iron Man,X360,2008.0,Action,0.27,0.24,0.0,0.06,45.0,5.9,T
3512,Naruto: Ultimate Ninja 2,PS2,2004.0,Fighting,0.47,0.02,0.0,0.08,73.0,7.9,T
3513,The Mysterious Murasame Castle,NES,1986.0,Action,0.0,0.0,0.57,0.0,,,
3514,NBA Hangtime,N64,1997.0,Sports,0.48,0.08,0.0,0.0,,,
3515,NHL 10,PS3,2009.0,Sports,0.38,0.12,0.0,0.07,88.0,7.9,E10+
3516,Zumba Fitness,PS3,2010.0,Sports,0.28,0.21,0.0,0.08,,3.8,E
3517,Rock Band 3,PS3,2010.0,Misc,0.43,0.08,0.0,0.05,91.0,8,T
3518,Blood Wake,XB,2001.0,Shooter,0.43,0.12,0.0,0.02,71.0,7.5,T
3519,Dynasty Warriors 5: Xtreme Legends,PS2,2005.0,Action,0.11,0.08,0.35,0.03,57.0,9.1,T
3520,Rapala: We Fish,Wii,2009.0,Sports,0.52,0.01,0.0,0.04,,tbd,E
3521,Harvest Moon: Sunshine Islands,DS,2008.0,Simulation,0.35,0.03,0.17,0.03,,,
3522,WWE 2K15,XOne,2014.0,Sports,0.29,0.23,0.0,0.05,56.0,5.7,T
3523,Jampack Summer 2002,PS2,2002.0,Misc,0.28,0.22,0.0,0.07,,tbd,
3524,FIFA World Cup Germany 2006,PS2,2006.0,Sports,0.47,0.02,0.0,0.08,77.0,8.1,E
3525,Wreckless: ThE YaKuza MisSiOns,XB,2002.0,Racing,0.42,0.11,0.02,0.02,74.0,5.2,T
3526,Super Bomberman,SNES,1992.0,Puzzle,0.0,0.0,0.57,0.0,,,
3527,Defiance,X360,2013.0,Shooter,0.38,0.14,0.0,0.05,60.0,7.2,M
3528,Disgaea 4: A Promise Unforgotten,PS3,2011.0,Role-Playing,0.27,0.11,0.14,0.05,80.0,7.8,T
3529,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008.0,Action,0.52,0.0,0.0,0.04,,6,E
3530,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003.0,Platform,0.45,0.1,0.0,0.02,70.0,8.9,E
3531,Doom 3 BFG Edition,PS3,2012.0,Shooter,0.26,0.21,0.0,0.1,67.0,6.4,M
3532,SD Gundam G Generation Neo,PS2,2002.0,Strategy,0.0,0.0,0.57,0.0,,,
3533,Spider-Man 3,X360,2007.0,Platform,0.49,0.04,0.0,0.04,63.0,7,T
3534,Pro Evolution Soccer 2012,PSP,2011.0,Action,0.1,0.11,0.29,0.06,74.0,6.3,E
3535,The Conduit,Wii,2009.0,Shooter,0.28,0.23,0.0,0.06,69.0,8.2,T
3536,Trivial Pursuit,Wii,2009.0,Misc,0.2,0.3,0.0,0.07,67.0,tbd,E
3537,Just Dance 2016,WiiU,2015.0,Misc,0.27,0.25,0.0,0.05,73.0,6.9,E10+
3538,Disney Universe,X360,2011.0,Action,0.37,0.14,0.0,0.05,66.0,5.3,E10+
3539,RalliSport Challenge,XB,2002.0,Racing,0.39,0.16,0.0,0.02,87.0,8.3,E
3540,Resident Evil Outbreak File #2,PS2,2004.0,Action,0.19,0.15,0.17,0.05,58.0,7.7,M
3541,Top Spin 3,PS3,2008.0,Action,0.08,0.36,0.0,0.12,75.0,7.5,E
3542,Bob the Builder: Can We Fix It?,PS,2000.0,Action,0.31,0.21,0.0,0.04,,,
3543,XIII,PS2,2003.0,Shooter,0.28,0.22,0.0,0.07,73.0,8.6,M
3544,Tomb Raider: Anniversary,PSP,2007.0,Action,0.21,0.22,0.0,0.13,78.0,8.2,T
3545,Bratz 4 Real,DS,2007.0,Adventure,0.29,0.22,0.0,0.06,,tbd,E
3546,Rune Factory 4,3DS,2012.0,Role-Playing,0.32,0.0,0.21,0.03,78.0,8.1,E10+
3547,3D Dot Game Heroes,PS3,2009.0,Role-Playing,0.36,0.11,0.03,0.07,77.0,8,E10+
3548,Up,Wii,2009.0,Action,0.22,0.28,0.0,0.06,62.0,8,E10+
3549,Breath of Fire IV,PS,2000.0,Role-Playing,0.11,0.08,0.34,0.04,83.0,8.9,T
3550,Tales of Zestiria,PS3,2015.0,Role-Playing,0.05,0.07,0.42,0.02,,8,T
3551,True Crime: Streets of LA,GC,2003.0,Action,0.44,0.11,0.0,0.02,77.0,7.3,M
3552,Odin Sphere,PS2,2007.0,Role-Playing,0.23,0.18,0.09,0.06,83.0,8.6,T
3553,Petz Wild Animals: Tigerz,DS,2008.0,Simulation,0.52,0.0,0.0,0.04,,tbd,E
3554,The Incredible Hulk,GBA,2003.0,Action,0.4,0.15,0.0,0.01,,,
3555,Ms. Pac-Man Maze Madness,GBA,2004.0,Puzzle,0.4,0.15,0.0,0.01,,tbd,E
3556,Xenoblade Chronicles,3DS,2015.0,Role-Playing,0.27,0.14,0.12,0.04,,,
3557,Titanfall,PC,2014.0,Shooter,0.22,0.3,0.0,0.04,86.0,6.2,M
3558,Arena Football,PS2,2006.0,Sports,0.28,0.22,0.0,0.07,66.0,8.6,E10+
3559,The Lord of the Rings: The Return of the King,GBA,2003.0,Action,0.4,0.15,0.0,0.01,77.0,8.2,T
3560,NHL Hitz 20-02,PS2,2001.0,Sports,0.28,0.22,0.0,0.07,78.0,7.6,E
3561,The Legend of Spyro: Dawn of the Dragon,Wii,2008.0,Platform,0.34,0.17,0.0,0.05,64.0,6.5,E10+
3562,Classic NES Series: Dr. Mario,GBA,2004.0,Puzzle,0.31,0.11,0.13,0.01,66.0,7.5,E
3563,The Sims: Bustin' Out,XB,2003.0,Simulation,0.4,0.14,0.0,0.02,81.0,8.9,T
3564,NCAA March Madness 07,PS2,2007.0,Sports,0.28,0.22,0.0,0.07,63.0,8.6,E
3565,"Monsters, Inc. Scream Team",PS,2001.0,Platform,0.31,0.21,0.0,0.04,65.0,6.9,E
3566,"Warhammer 40,000: Space Marine",X360,2011.0,Shooter,0.25,0.26,0.0,0.06,76.0,7.8,M
3567,Harry Potter Collection,PS2,2006.0,Misc,0.28,0.21,0.0,0.07,,tbd,E10+
3568,Top Spin 3,X360,2008.0,Action,0.09,0.4,0.0,0.07,78.0,7.6,E
3569,Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004.0,Misc,0.4,0.15,0.0,0.01,,,
3570,Cabela's Big Game Hunter 2005 Adventures,PS2,2004.0,Sports,0.28,0.21,0.0,0.07,55.0,8.4,T
3571,LEGO Rock Band,X360,2009.0,Misc,0.4,0.11,0.0,0.05,71.0,7.2,E10+
3572,Knockout Kings 2001,PS2,2001.0,Fighting,0.28,0.21,0.0,0.07,81.0,tbd,T
3573,Army Men: Sarge's Heroes,PS,1999.0,Action,0.31,0.21,0.0,0.04,,,
3574,Petz Dogz 2,PS2,2007.0,Simulation,0.28,0.21,0.0,0.07,,tbd,E
3575,Battlefield 2: Modern Combat,XB,2005.0,Shooter,0.39,0.15,0.0,0.02,80.0,8.2,T
3576,Tom Clancy's HAWX,PS3,2009.0,Action,0.21,0.22,0.05,0.09,74.0,8.1,T
3577,All-Star Baseball 2002,PS2,2001.0,Sports,0.27,0.21,0.0,0.07,77.0,7.6,E
3578,Backyard NFL Football,GBA,2002.0,Sports,0.4,0.15,0.0,0.01,,,
3579,Minecraft: Story Mode,XOne,2015.0,Adventure,0.3,0.21,0.0,0.05,,,
3580,Jillian Michaels Fitness Ultimatum 2010,Wii,2009.0,Sports,0.51,0.01,0.0,0.04,,tbd,E
3581,Need for Speed: Most Wanted,GC,2005.0,Racing,0.43,0.11,0.0,0.02,80.0,9.1,T
3582,NASCAR Rumble,PS,2000.0,Racing,0.31,0.21,0.0,0.04,,,
3583,Bolt,Wii,2008.0,Adventure,0.19,0.31,0.0,0.06,50.0,5.8,E10+
3584,WWE Raw 2,XB,2003.0,Fighting,0.43,0.11,0.0,0.02,68.0,7.3,T
3585,Resident Evil 2,N64,1999.0,Action,0.39,0.09,0.07,0.01,,,
3586,Mega Man X2,SNES,1993.0,Platform,0.09,0.02,0.45,0.0,,,
3587,Manhunt 2,PS2,2007.0,Action,0.27,0.21,0.0,0.07,67.0,7.8,M
3588,Fullmetal Alchemist and the Broken Angel,PS2,2003.0,Role-Playing,0.15,0.12,0.26,0.04,56.0,8.1,T
3589,Tony Hawk's Project 8,PSP,2006.0,Sports,0.41,0.07,0.0,0.07,68.0,7.6,T
3590,Hamtaro: Ham-Hams Unite!,GB,2001.0,Role-Playing,0.0,0.0,0.56,0.0,,,
3591,Batman Begins,PS2,2005.0,Action,0.27,0.21,0.0,0.07,64.0,7.3,T
3592,Dogz,DS,2006.0,Simulation,0.5,0.01,0.0,0.04,,7.8,E
3593,Yokai Sangokushi,3DS,2016.0,Action,0.0,0.0,0.56,0.0,,,
3594,Tony Hawk's Proving Ground,X360,2007.0,Sports,0.49,0.02,0.0,0.04,72.0,5.4,T
3595,Dr. Seuss' The Cat in the Hat,PS2,2003.0,Misc,0.27,0.21,0.0,0.07,56.0,6.5,E
3596,Barbie Groovy Games,GBA,2002.0,Misc,0.4,0.15,0.0,0.01,47.0,7,E
3597,Wolfenstein,X360,2009.0,Shooter,0.28,0.22,0.0,0.06,72.0,7.5,M
3598,Yu-Gi-Oh! Reshef of Destruction,GBA,2003.0,Strategy,0.4,0.15,0.0,0.01,,,
3599,Blinx: The Time Sweeper,XB,2002.0,Platform,0.39,0.15,0.0,0.02,71.0,8,E
3600,ESPN NFL Football,PS2,2003.0,Sports,0.27,0.21,0.0,0.07,91.0,8.5,E
3601,Fatal Fury Special,SNES,1994.0,Fighting,0.0,0.0,0.56,0.0,,,
3602,Major League Baseball 2K5,XB,2005.0,Sports,0.52,0.02,0.0,0.02,81.0,8.2,E
3603,Tetris Party Deluxe,Wii,2010.0,Puzzle,0.33,0.16,0.02,0.05,72.0,5.8,E
3604,DS Bimoji Training,DS,2008.0,Misc,0.0,0.0,0.56,0.0,,,
3605,Gravity Rush,PSV,2012.0,Action,0.21,0.17,0.09,0.08,83.0,8.5,T
